,number,value,datetime_start,datetime_complete,duration,params_precip_const_1,params_precip_const_2,params_precip_const_3,params_precip_const_4,params_precip_const_5,params_precip_const_6,params_precip_const_7,params_precip_const_8,params_precip_const_9,params_precip_const_10,params_precip_const_11,params_precip_const_12,state
297,297,25.97242139,51:31.4,52:42.4,0 days 00:01:11.051589,0.1,0.15,0.12,0.23,0.45,0.72,0.49,0.08,0.1,0.03,0.02,0.18,COMPLETE
298,298,26.41738546,52:42.4,53:24.1,0 days 00:00:41.705300,0.1,0.15,0.16,0.23,0.45,0.73,0.49,0.06,0.1,0.03,0.01,0.18,COMPLETE
299,299,26.37908811,53:24.1,54:50.7,0 days 00:01:26.624433,0.1,0.15,0.16,0.23,0.45,0.72,0.49,0.06,0.1,0.03,0.01,0.18,COMPLETE
300,300,26.32837878,23:30.8,24:54.6,0 days 00:01:23.776643,0.1,0.16,0.15,0.23,0.45,0.73,0.49,0.06,0.1,0.03,0.01,0.17,COMPLETE
301,301,26.49498968,24:54.6,26:02.4,0 days 00:01:07.759290,0.12,0.16,0.13,0.19,0.45,0.77,0.49,0.08,0.1,0.04,0,0.19,COMPLETE
302,302,25.75657001,26:02.4,27:39.4,0 days 00:01:37.064779,0.09,0.14,0.12,0.23,0.45,0.72,0.5,0.06,0.1,0.03,0.02,0.18,COMPLETE
303,303,26.14271851,27:39.4,29:11.1,0 days 00:01:31.643243,0.13,0.15,0.12,0.22,0.46,0.7,0.5,0.09,0.11,0.03,0.01,0.17,COMPLETE
304,304,26.02005175,29:11.1,30:44.7,0 days 00:01:33.592857,0.09,0.15,0.12,0.19,0.45,0.77,0.5,0.09,0.1,0.02,0.02,0.19,COMPLETE
305,305,25.77972941,30:44.7,31:54.8,0 days 00:01:10.149543,0.09,0.14,0.12,0.19,0.45,0.75,0.48,0.06,0.11,0.02,0.02,0.19,COMPLETE
306,306,25.90822811,31:54.8,33:06.6,0 days 00:01:11.791286,0.1,0.12,0.13,0.19,0.45,0.75,0.48,0.09,0.11,0.02,0,0.19,COMPLETE
307,307,25.97248128,33:06.6,34:28.4,0 days 00:01:21.804784,0.09,0.12,0.13,0.19,0.45,0.77,0.48,0.09,0.11,0.02,0,0.2,COMPLETE
308,308,26.13777354,34:28.4,35:42.0,0 days 00:01:13.569153,0.08,0.12,0.14,0.19,0.45,0.81,0.48,0.09,0.11,0.02,0,0.2,COMPLETE
309,309,25.87610028,35:42.0,36:16.9,0 days 00:00:34.900904,0.08,0.13,0.13,0.19,0.42,0.79,0.47,0.09,0.11,0.02,0,0.2,COMPLETE
310,310,25.84309514,36:16.9,36:54.6,0 days 00:00:37.723790,0.08,0.12,0.13,0.18,0.45,0.78,0.47,0.1,0.12,0.02,0,0.2,COMPLETE
311,311,26.14428316,36:54.6,37:31.3,0 days 00:00:36.736574,0.08,0.12,0.14,0.18,0.42,0.79,0.47,0.1,0.12,0.02,0,0.24,COMPLETE
312,312,26.23955562,37:31.3,38:37.7,0 days 00:01:06.350597,0.08,0.12,0.14,0.18,0.42,0.79,0.48,0.13,0.12,0.02,0,0.25,COMPLETE
313,313,26.4205445,38:37.7,39:41.7,0 days 00:01:04.003524,0.08,0.12,0.18,0.19,0.42,0.83,0.47,0.1,0.12,0.01,0,0.2,COMPLETE
314,314,25.80769456,39:41.7,40:41.2,0 days 00:00:59.483181,0.08,0.13,0.13,0.18,0.45,0.76,0.47,0.1,0.12,0.02,0,0.2,COMPLETE
315,315,26.45064197,40:41.2,42:19.4,0 days 00:01:38.224771,0.08,0.12,0.15,0.18,0.44,0.8,0.47,0.1,0.12,0,0,0.24,COMPLETE
316,316,25.82363826,42:19.4,44:21.5,0 days 00:02:02.041647,0.09,0.12,0.13,0.2,0.42,0.77,0.47,0.09,0.12,0.02,0,0.2,COMPLETE
317,317,25.82247425,44:21.5,45:45.1,0 days 00:01:23.653866,0.09,0.13,0.13,0.15,0.42,0.78,0.46,0.13,0.12,0.02,0,0.21,COMPLETE
318,318,25.61704645,45:45.1,47:10.0,0 days 00:01:24.833753,0.06,0.13,0.17,0.14,0.39,0.76,0.47,0.13,0.12,0.02,0,0.2,COMPLETE
319,319,25.84882805,47:10.0,48:54.0,0 days 00:01:44.071590,0.06,0.13,0.18,0.2,0.39,0.76,0.46,0.13,0.11,0.02,0,0.2,COMPLETE
320,320,25.72419208,48:54.0,50:59.8,0 days 00:02:05.810831,0.06,0.12,0.17,0.15,0.38,0.77,0.46,0.12,0.12,0,0,0.2,COMPLETE
321,321,25.68773682,50:59.8,52:47.5,0 days 00:01:47.678196,0.06,0.13,0.18,0.14,0.38,0.76,0.46,0.13,0.13,0.01,0,0.2,COMPLETE
322,322,25.67120227,52:47.5,54:58.9,0 days 00:02:11.414426,0.05,0.13,0.17,0.14,0.39,0.76,0.46,0.13,0.13,0,0,0.2,COMPLETE
323,323,25.66875826,54:58.9,56:20.7,0 days 00:01:21.767749,0.05,0.13,0.18,0.14,0.39,0.76,0.47,0.13,0.13,0.01,0,0.2,COMPLETE
324,324,25.65086675,56:20.7,57:37.6,0 days 00:01:16.861521,0.05,0.13,0.17,0.15,0.38,0.76,0.46,0.14,0.13,0,0,0.2,COMPLETE
325,325,26.07691542,57:37.6,58:25.8,0 days 00:00:48.179564,0.05,0.11,0.18,0.15,0.38,0.76,0.46,0.13,0.13,0,0,0.28,COMPLETE
326,326,25.85533555,58:25.8,59:24.7,0 days 00:00:58.906962,0.06,0.13,0.18,0.14,0.38,0.75,0.46,0.13,0.13,0,0,0.23,COMPLETE
327,327,25.83103337,59:24.7,00:24.0,0 days 00:00:59.372221,0.03,0.13,0.2,0.13,0.39,0.76,0.46,0.14,0.13,0,0,0.23,COMPLETE
328,328,26.04748506,00:24.0,01:14.1,0 days 00:00:50.114705,0.02,0.13,0.23,0.15,0.38,0.75,0.45,0.14,0.13,0.01,0,0.26,COMPLETE
329,329,26.2034953,01:14.1,03:08.1,0 days 00:01:53.959049,0.06,0.13,0.21,0.14,0.38,0.78,0.46,0.13,0.12,0,0,0.23,COMPLETE
330,330,25.72019566,03:08.1,04:37.9,0 days 00:01:29.804188,0.04,0.11,0.19,0.13,0.39,0.76,0.46,0.14,0.14,0,0,0.22,COMPLETE
331,331,26.12361135,04:37.9,05:19.8,0 days 00:00:41.864577,0.04,0.1,0.19,0.13,0.39,0.86,0.45,0.14,0.12,0,0,0.22,COMPLETE
332,332,25.80200647,05:19.8,05:54.1,0 days 00:00:34.355383,0.06,0.13,0.18,0.14,0.38,0.76,0.46,0.12,0.14,0,0,0.21,COMPLETE
333,333,25.72058019,05:54.1,06:51.0,0 days 00:00:56.905455,0.02,0.11,0.21,0.14,0.37,0.76,0.46,0.12,0.13,0,0,0.23,COMPLETE
334,334,25.75804503,06:51.0,07:55.7,0 days 00:01:04.646050,0.02,0.1,0.21,0.14,0.36,0.76,0.45,0.12,0.14,0,0.03,0.28,COMPLETE
335,335,25.7157165,07:55.7,08:46.7,0 days 00:00:50.958125,0.01,0.1,0.21,0.14,0.37,0.75,0.45,0.12,0.14,0,0,0.27,COMPLETE
336,336,25.61351699,08:46.7,09:21.6,0 days 00:00:34.964876,0,0.1,0.21,0.13,0.36,0.75,0.45,0.12,0.14,0,0,0.26,COMPLETE
337,337,25.73212652,09:21.6,10:47.9,0 days 00:01:26.324937,0.01,0.1,0.21,0.14,0.36,0.76,0.45,0.12,0.15,0,0,0.27,COMPLETE
338,338,25.78757739,10:47.9,11:37.5,0 days 00:00:49.516862,0.01,0.1,0.22,0.16,0.35,0.76,0.4,0.12,0.14,0,0,0.28,COMPLETE
339,339,34.21853855,11:37.5,13:25.4,0 days 00:01:47.898384,0.01,0.1,0.22,0.13,0.36,0.82,0.45,0.12,0.14,0,0.47,0.28,COMPLETE
340,340,35.66334615,13:25.4,14:46.8,0 days 00:01:21.469201,0,0.08,0.21,0.15,0.31,0.78,0.4,0.15,0.14,0,0.78,0.27,COMPLETE
341,341,26.35221573,14:46.8,15:54.7,0 days 00:01:07.886088,0.03,0.1,0.24,0.16,0.35,0.76,0.45,0.12,0.15,0,0.03,0.3,COMPLETE
342,342,32.61233321,15:54.7,17:26.1,0 days 00:01:31.359594,0.02,0.1,0.2,0.13,0.35,0.8,0.44,0.12,0.14,0,0.42,0.25,COMPLETE
343,343,31.42179488,17:26.1,18:33.3,0 days 00:01:07.181529,0.04,0.11,0.28,0.15,0.37,0.75,0.45,0.15,0.86,0,0,0.28,COMPLETE
344,344,25.62549094,18:33.3,20:36.9,0 days 00:02:03.647932,0.02,0.08,0.23,0.16,0.32,0.78,0.44,0.11,0.14,0,0.03,0.25,COMPLETE
345,345,33.9082984,20:36.9,22:41.6,0 days 00:02:04.698950,0,0.08,0.22,0.12,0.31,0.75,0.41,0.14,0.14,0.01,0.53,0.25,COMPLETE
346,346,25.83373665,22:41.6,23:54.9,0 days 00:01:13.324948,0.02,0.08,0.25,0.16,0.36,0.77,0.45,0.12,0.15,0,0.03,0.24,COMPLETE
347,347,25.4509014,23:54.9,25:37.1,0 days 00:01:42.192954,0.04,0.1,0.2,0.13,0.32,0.74,0.44,0.11,0.14,0,0.03,0.26,COMPLETE
348,348,25.7945584,25:37.1,27:18.5,0 days 00:01:41.320329,0.04,0.09,0.17,0.16,0.31,0.81,0.39,0.11,0.15,0,0.04,0.3,COMPLETE
349,349,35.68802937,27:18.5,28:13.0,0 days 00:00:54.553552,0.04,0.08,0.17,0.16,0.31,0.84,0.4,0.11,0.16,0,0.74,0.29,COMPLETE
350,350,25.98002784,28:13.0,29:25.6,0 days 00:01:12.575972,0,0.1,0.22,0.14,0.29,0.81,0.41,0.12,0.15,0.04,0.04,0.34,COMPLETE
351,351,25.61917683,29:25.6,30:14.2,0 days 00:00:48.581173,0.05,0.09,0.18,0.09,0.33,0.74,0.43,0.15,0.14,0,0.04,0.32,COMPLETE
352,352,25.28802537,30:14.2,31:01.3,0 days 00:00:47.125398,0.02,0.09,0.19,0.11,0.33,0.74,0.39,0.15,0.14,0,0.04,0.27,COMPLETE
353,353,29.81942916,31:01.3,32:17.7,0 days 00:01:16.347923,0.02,0.48,0.19,0.09,0.33,0.75,0.39,0.15,0.15,0,0.04,0.32,COMPLETE
354,354,35.66859332,32:17.7,33:15.3,0 days 00:00:57.667861,0.05,0.08,0.2,0.11,0.33,0.74,0.41,0.15,0.14,0,0.85,0.26,COMPLETE
355,355,25.9365486,33:15.3,34:11.0,0 days 00:00:55.651995,0.04,0.1,0.24,0.09,0.31,0.8,0.43,0.11,0.16,0,0.04,0.27,COMPLETE
356,356,25.1196902,34:11.0,35:29.6,0 days 00:01:18.588439,0.01,0.08,0.17,0.12,0.34,0.74,0.4,0.12,0.14,0.02,0.04,0.3,COMPLETE
357,357,25.05975949,35:29.6,36:08.1,0 days 00:00:38.563244,0.02,0.07,0.18,0.12,0.34,0.74,0.41,0.15,0.14,0.04,0.04,0.29,COMPLETE
358,358,26.31117255,36:08.1,37:21.0,0 days 00:01:12.872299,0.02,0.07,0.31,0.12,0.34,0.74,0.39,0.15,0.17,0.04,0.04,0.31,COMPLETE
359,359,25.17309396,37:21.0,38:42.2,0 days 00:01:21.237593,0,0.09,0.27,0.1,0.29,0.71,0.39,0.15,0.14,0.05,0.04,0.29,COMPLETE
360,360,25.06849922,38:42.2,39:52.5,0 days 00:01:10.266929,0,0.07,0.26,0.1,0.27,0.7,0.41,0.15,0.16,0.04,0.03,0.28,COMPLETE
361,361,25.51798977,39:52.5,41:28.7,0 days 00:01:36.140143,0,0.08,0.27,0.1,0.29,0.7,0.43,0.16,0.17,0.05,0.04,0.33,COMPLETE
362,362,25.16859311,41:28.7,42:52.1,0 days 00:01:23.399834,0,0.07,0.24,0.09,0.32,0.72,0.42,0.16,0.17,0.05,0.04,0.29,COMPLETE
363,363,35.34207106,42:52.1,44:13.9,0 days 00:01:21.868099,0,0.07,0.28,0.1,0.28,0.71,0.42,0.16,0.18,0.05,0.58,0.31,COMPLETE
364,364,25.31288846,44:13.9,45:08.3,0 days 00:00:54.352596,0,0.08,0.26,0.09,0.29,0.7,0.38,0.16,0.17,0.05,0.04,0.33,COMPLETE
365,365,25.76610516,45:08.3,45:55.0,0 days 00:00:46.753844,0,0.07,0.33,0.09,0.26,0.7,0.39,0.15,0.17,0.04,0.04,0.33,COMPLETE
366,366,25.86670608,45:55.0,46:23.2,0 days 00:00:28.193745,0.02,0.09,0.26,0.08,0.29,0.7,0.38,0.16,0.17,0.05,0.04,0.36,COMPLETE
367,367,26.06455786,46:23.2,47:39.6,0 days 00:01:16.328182,0.02,0.07,0.26,0.12,0.32,0.73,0.43,0.14,0.16,0.04,0.04,0.34,COMPLETE
368,368,25.18733472,47:39.6,48:44.6,0 days 00:01:05.032816,0,0.08,0.24,0.1,0.26,0.71,0.41,0.14,0.18,0.02,0.04,0.29,COMPLETE
369,369,25.20335879,48:44.6,49:32.3,0 days 00:00:47.728035,0,0.06,0.24,0.1,0.25,0.71,0.41,0.15,0.23,0.04,0.04,0.32,COMPLETE
370,370,25.18070786,49:32.3,51:20.5,0 days 00:01:48.182604,0,0.06,0.27,0.1,0.24,0.7,0.37,0.16,0.19,0.05,0.04,0.33,COMPLETE
371,371,25.43052231,51:20.5,52:21.0,0 days 00:01:00.451606,0,0.06,0.28,0.1,0.24,0.7,0.37,0.16,0.23,0.05,0.04,0.33,COMPLETE
372,372,25.55157133,52:21.0,54:08.5,0 days 00:01:47.563925,0,0.06,0.29,0.09,0.26,0.7,0.37,0.16,0.23,0.04,0.04,0.33,COMPLETE
373,373,25.24532113,54:08.5,55:40.7,0 days 00:01:32.178034,0,0.04,0.28,0.09,0.24,0.7,0.37,0.16,0.22,0.05,0.04,0.33,COMPLETE
374,374,25.32816131,55:40.7,57:03.6,0 days 00:01:22.873904,0,0.04,0.29,0.08,0.25,0.7,0.37,0.17,0.23,0.05,0.04,0.32,COMPLETE
375,375,25.74940811,57:03.6,57:49.6,0 days 00:00:45.996888,0,0.05,0.29,0.08,0.24,0.7,0.36,0.19,0.24,0.05,0.04,0.37,COMPLETE
376,376,25.907228,57:49.6,58:58.7,0 days 00:01:09.105215,0,0.05,0.33,0.1,0.26,0.7,0.38,0.17,0.23,0.05,0.04,0.33,COMPLETE
377,377,25.11983169,58:58.7,59:42.0,0 days 00:00:43.310813,0,0.04,0.27,0.08,0.24,0.69,0.37,0.16,0.22,0.05,0.05,0.32,COMPLETE
378,378,35.23930068,59:42.0,00:18.2,0 days 00:00:36.186578,0,0.04,0.27,0.07,0.23,0.69,0.37,0.16,0.22,0.05,0.62,0.32,COMPLETE
379,379,25.91025998,00:18.2,00:50.5,0 days 00:00:32.269836,0.03,0.04,0.3,0.1,0.25,0.71,0.37,0.16,0.21,0.08,0.04,0.34,COMPLETE
380,380,35.68489888,00:50.5,01:49.9,0 days 00:00:59.469515,0,0.06,0.25,0.09,0.27,0.71,0.4,0.19,0.23,0.05,0.66,0.35,COMPLETE
381,381,26.14670797,01:49.9,02:42.5,0 days 00:00:52.604616,0.03,0.06,0.36,0.08,0.21,0.72,0.37,0.17,0.21,0.04,0.04,0.32,COMPLETE
382,382,25.29928377,02:42.5,03:17.5,0 days 00:00:34.987795,0,0.03,0.29,0.11,0.28,0.69,0.35,0.19,0.22,0.07,0.05,0.3,COMPLETE
383,383,25.63333241,03:17.5,04:31.5,0 days 00:01:13.941977,0,0.03,0.29,0.11,0.28,0.73,0.35,0.19,0.24,0.08,0.05,0.3,COMPLETE
384,384,25.64132159,04:31.5,06:01.8,0 days 00:01:30.337377,0,0.03,0.31,0.11,0.27,0.69,0.35,0.22,0.25,0.08,0.05,0.3,COMPLETE
385,385,25.49461798,06:01.8,07:15.3,0 days 00:01:13.483946,0,0.04,0.31,0.1,0.27,0.69,0.34,0.22,0.23,0.08,0.05,0.3,COMPLETE
386,386,30.32970391,07:15.3,08:18.5,0 days 00:01:03.183366,0,0.03,0.3,0.56,0.28,0.69,0.34,0.22,0.25,0.08,0.05,0.3,COMPLETE
387,387,25.20443696,08:18.5,09:20.9,0 days 00:01:02.470000,0,0.03,0.28,0.1,0.24,0.69,0.35,0.21,0.23,0.08,0.05,0.3,COMPLETE
388,388,25.5086255,09:21.0,10:24.3,0 days 00:01:03.301362,0.02,0.04,0.28,0.07,0.25,0.69,0.37,0.2,0.24,0.08,0.05,0.32,COMPLETE
389,389,26.14803852,10:24.3,11:26.4,0 days 00:01:02.170343,0.02,0.06,0.27,0.07,0.24,0.69,0.38,0.21,0.23,0.07,0.08,0.36,COMPLETE
390,390,25.3457163,11:26.4,12:33.6,0 days 00:01:07.181012,0.03,0.04,0.27,0.06,0.22,0.71,0.37,0.19,0.22,0.07,0.05,0.33,COMPLETE
391,391,25.37533581,12:33.6,13:25.0,0 days 00:00:51.370587,0.03,0.04,0.27,0.06,0.22,0.71,0.37,0.19,0.22,0.08,0.05,0.33,COMPLETE
392,392,25.87501596,13:25.0,14:53.8,0 days 00:01:28.796816,0.03,0.04,0.27,0.07,0.22,0.71,0.37,0.2,0.23,0.08,0.08,0.34,COMPLETE
393,393,33.45259961,14:53.8,16:49.3,0 days 00:01:55.497045,0,0.56,0.32,0.07,0.25,0.68,0.35,0.18,0.22,0.07,0.05,0.37,COMPLETE
394,394,25.6739506,16:49.3,18:11.0,0 days 00:01:21.735553,0.02,0.04,0.28,0.09,0.21,0.7,0.39,0.25,0.21,0.08,0.08,0.33,COMPLETE
395,395,25.12633105,18:11.0,20:00.4,0 days 00:01:49.424798,0.03,0.03,0.25,0.05,0.23,0.64,0.37,0.19,0.26,0.06,0.05,0.29,COMPLETE
396,396,25.14383676,20:00.4,20:57.3,0 days 00:00:56.824161,0,0.02,0.26,0.06,0.23,0.68,0.34,0.19,0.26,0.06,0.05,0.29,COMPLETE
397,397,25.37357124,20:57.3,22:03.5,0 days 00:01:06.244616,0.03,0.02,0.25,0.06,0.23,0.68,0.33,0.2,0.27,0.06,0.08,0.29,COMPLETE
398,398,35.87139101,22:03.5,22:52.4,0 days 00:00:48.901471,0.83,0.02,0.25,0.06,0.23,0.63,0.34,0.23,0.27,0.08,0.08,0.29,COMPLETE
399,399,34.36450452,22:52.4,24:12.4,0 days 00:01:19.957235,0.58,0.02,0.26,0.05,0.24,0.64,0.34,0.2,0.26,0.06,0.07,0.31,COMPLETE
